KIT;KIT2;Poste;Fileiras;Graus;Região;Módulo;Módulos;Qtd;Produto;Custo Unit;Custo Total;Custo/Mód;Preço S/ Impostos;TABELA PREÇO;Majorado;Tabela 18%;Tabela 7%;PREÇO DA MESA /MÓDULO
;SOLO 2 FILEIRAS BIPOSTE 15 GRAUS REGIAO 3 ;Biposte;2;15;3;1134;80;8;SOLOGRAMPTERM1;1.25;10.02;0.13;0.21;0.23;0.25;0.28;0.25;168.98999999999998
SOLO 2 FILEIRAS BIPOSTE 15 GRAUS REGIAO 3 1303;SOLO 2 FILEIRAS BIPOSTE 15 GRAUS REGIAO 3 ;Biposte;2;15;3;1303;80;22;PTM15BIPOSTE02;229.39;5046.57;63.08;103.41;113.95;126.62;142.15;123.48;202.09
;SOLO 2 FILEIRAS BIPOSTE 15 GRAUS REGIAO 3 ;Biposte;2;15;3;1303;80;4;SL002C407X000BRT;62.47;249.88;3.12;5.12;5.64;6.27;7.04;6.11;202.09
;SOLO 2 FILEIRAS BIPOSTE 15 GRAUS REGIAO 3 ;Biposte;2;15;3;1303;80;56;SL002C350X000BRT;53.72;3008.39;37.6;61.65;67.93;75.48;84.74;73.61;202.09
;SOLO 2 FILEIRAS BIPOSTE 15 GRAUS REGIAO 3 ;Biposte;2;15;3;1303;80;56;EFSALJUNCAO400;3.91;218.78;2.73;4.48;4.94;5.49;6.16;5.35;202.09
;SOLO 2 FILEIRAS BIPOSTE 15 GRAUS REGIAO 3 ;Biposte;2;15;3;1303;80;22;EFSALCONTVENT270;13.95;306.87;3.84;6.29;6.93;7.7;8.64;7.51;202.09
;SOLO 2 FILEIRAS BIPOSTE 15 GRAUS REGIAO 3 ;Biposte;2;15;3;1303;80;156;PSGRAMPINTSMART2;0.7;109.51;1.37;2.24;2.47;2.75;3.08;2.68;202.09
;SOLO 2 FILEIRAS BIPOSTE 15 GRAUS REGIAO 3 ;Biposte;2;15;3;1303;80;8;SOLOGRAMPTERM1;1.25;10.02;0.13;0.21;0.23;0.25;0.28;0.25;202.09
SOLO 2 FILEIRAS  BIPOSTE 20 GRAUS REGIAO 2 1134;SOLO 2 FILEIRAS BIPOSTE 20 GRAUS REGIAO 2 ;Biposte;2;20;2;1134;80;18;PTM20BIPOSTE01;232.59;4186.53;52.33;85.79;94.53;105.04;117.92;102.44;171.86999999999998
;SOLO 2 FILEIRAS BIPOSTE 20 GRAUS REGIAO 2 ;Biposte;2;20;2;1134;80;4;SL002C200X000BRT;30.7;122.79;1.53;2.52;2.77;3.08;3.46;3.0;171.86999999999998
;SOLO 2 FILEIRAS BIPOSTE 20 GRAUS REGIAO 2 ;Biposte;2;20;2;1134;80;44;SL002C407X000BRT;62.47;2748.69;34.36;56.33;62.07;68.96;77.42;67.25;171.86999999999998
;SOLO 2 FILEIRAS BIPOSTE 20 GRAUS REGIAO 2 ;Biposte;2;20;2;1134;80;44;EFSALJUNCAO400;3.91;171.9;2.15;3.52;3.88;4.31;4.84;4.21;171.86999999999998
;SOLO 2 FILEIRAS BIPOSTE 20 GRAUS REGIAO 2 ;Biposte;2;20;2;1134;80;18;EFSALCONTVENT290;14.57;262.28;3.28;5.37;5.92;6.58;7.39;6.42;171.86999999999998
;SOLO 2 FILEIRAS BIPOSTE 20 GRAUS REGIAO 2 ;Biposte;2;20;2;1134;80;156;PSGRAMPINTSMART2;0.7;109.51;1.37;2.24;2.47;2.75;3.08;2.68;171.86999999999998
